PARTICIPANTIDENTIFIER,time,action,p_send
MDH-0000-3900,2024-07-09 20:00:00+00:00,0,0.6617466613888229
MDH-0000-5795,2024-07-09 19:00:00+00:00,1,0.5832683282075783
MDH-0001-5834,2024-07-09 20:00:00+00:00,1,0.5570711407744887
MDH-0008-0746,2024-07-09 19:00:00+00:00,1,0.9455167648915049
MDH-0015-9817,2024-07-09 22:00:00+00:00,1,0.9100159760778562
MDH-0025-5702,2024-07-09 19:00:00+00:00,0,0.5309942469329464
MDH-0025-7530,2024-07-09 19:00:00+00:00,0,0.7781265854691368
MDH-0027-2714,2024-07-09 19:00:00+00:00,1,0.9027165155007076
MDH-0071-9232,2024-07-09 19:00:00+00:00,0,0.49211025357676774
MDH-0084-7389,2024-07-09 19:00:00+00:00,1,0.5544048028536566
MDH-0104-4053,2024-07-09 20:00:00+00:00,1,0.9704159360859808
MDH-0110-2314,2024-07-09 20:00:00+00:00,1,0.8945278092405932
MDH-0111-1880,2024-07-09 20:00:00+00:00,1,0.22270555528661357
MDH-0113-9465,2024-07-09 19:00:00+00:00,1,0.29323100096958366
MDH-0116-4225,2024-07-09 19:00:00+00:00,1,0.9361303618605248
MDH-0117-5445,2024-07-09 19:00:00+00:00,0,0.12599653591528065
MDH-0157-0653,2024-07-09 22:00:00+00:00,0,0.5844155855469605
MDH-0164-6819,2024-07-09 22:00:00+00:00,1,0.3717330372039328
MDH-0166-2419,2024-07-09 19:00:00+00:00,1,0.9347673398720117
MDH-0166-6850,2024-07-09 19:00:00+00:00,0,0.030123616568407445
MDH-0174-6319,2024-07-09 20:00:00+00:00,1,0.9869363620635666
MDH-0191-8145,2024-07-09 19:00:00+00:00,1,0.9774277394630695
MDH-0196-3492,2024-07-09 19:00:00+00:00,0,0.49671286786123403
MDH-0250-0322,2024-07-09 19:00:00+00:00,0,0.9876151638534814
MDH-0253-5891,2024-07-09 20:00:00+00:00,0,0.37471805170025785
MDH-0259-9386,2024-07-09 19:00:00+00:00,0,0.6862333092719923
MDH-0265-4204,2024-07-09 19:00:00+00:00,1,0.8425183837999863
MDH-0277-8126,2024-07-09 19:00:00+00:00,1,0.9699177595290716
MDH-0292-0375,2024-07-09 19:00:00+00:00,0,0.08218655949620379
MDH-0306-0672,2024-07-09 00:00:00+00:00,0,0.06772344850821807
MDH-0310-4546,2024-07-09 20:00:00+00:00,1,0.9189297552705538
MDH-0355-8174,2024-07-09 19:00:00+00:00,1,0.8980908872626878
MDH-0362-3149,2024-07-09 19:00:00+00:00,1,0.9295188299491566
MDH-0365-3706,2024-07-09 19:00:00+00:00,1,0.7727395438778499
MDH-0373-2528,2024-07-09 19:00:00+00:00,1,0.7777617758759865
MDH-0380-0515,2024-07-09 20:00:00+00:00,1,0.9725670136664482
MDH-0384-4742,2024-07-09 19:00:00+00:00,1,0.9792710492701481
MDH-0387-0178,2024-07-09 19:00:00+00:00,1,0.8034856459835442
MDH-0400-2616,2024-07-09 19:00:00+00:00,0,0.4959803131170034
MDH-0439-4705,2024-07-09 20:00:00+00:00,1,0.39186427476828023
MDH-0456-1935,2024-07-09 19:00:00+00:00,1,0.891989470626519
MDH-0459-3201,2024-07-09 20:00:00+00:00,0,0.14679587491738816
MDH-0464-5451,2024-07-09 20:00:00+00:00,0,0.006014394525151481
MDH-0469-9844,2024-07-09 19:00:00+00:00,1,0.9237388889143326
MDH-0484-2565,2024-07-09 19:00:00+00:00,0,0.05480292156523605
MDH-0501-3188,2024-07-09 21:00:00+00:00,0,0.12572143891941934
MDH-0502-2932,2024-07-09 19:00:00+00:00,0,0.4272969965380514
MDH-0509-1157,2024-07-09 20:00:00+00:00,1,0.921795023052399
