PARTICIPANTIDENTIFIER,time,action,p_send
MDH-0000-3900,2024-07-01 20:00:00+00:00,1,0.8270816653234445
MDH-0000-5795,2024-07-01 20:00:00+00:00,0,0.15636681994509205
MDH-0001-5834,2024-07-01 21:00:00+00:00,1,0.8754513054955511
MDH-0008-0746,2024-07-01 19:00:00+00:00,1,0.24749982978221624
MDH-0015-9817,2024-07-01 22:00:00+00:00,0,0.7865180235882311
MDH-0025-5702,2024-07-01 19:00:00+00:00,0,0.21952037922694728
MDH-0025-7530,2024-07-01 19:00:00+00:00,0,0.15497607625505816
MDH-0027-2714,2024-07-01 20:00:00+00:00,0,0.38440433700691556
MDH-0071-9232,2024-07-01 19:00:00+00:00,0,0.03961070339728128
MDH-0084-7389,2024-07-01 19:00:00+00:00,0,0.19112430479967596
MDH-0104-4053,2024-07-01 21:00:00+00:00,0,0.04317810208307879
MDH-0111-1880,2024-07-01 20:00:00+00:00,0,0.14598837596361924
MDH-0113-9465,2024-07-01 20:00:00+00:00,0,0.19904217109814965
MDH-0116-4225,2024-07-01 20:00:00+00:00,0,0.27515936664542257
MDH-0117-5445,2024-07-01 19:00:00+00:00,1,0.8717224597683119
MDH-0157-0653,2024-07-01 23:00:00+00:00,0,0.15247529061554616
MDH-0164-6819,2024-07-01 22:00:00+00:00,0,0.2469416908644071
MDH-0166-2419,2024-07-01 20:00:00+00:00,1,0.3458286817623726
MDH-0166-6850,2024-07-01 19:00:00+00:00,1,0.8602650010286885
MDH-0174-6319,2024-07-01 20:00:00+00:00,0,0.040189800590002094
MDH-0191-8145,2024-07-01 20:00:00+00:00,0,0.040064739511826826
MDH-0196-3492,2024-07-01 19:00:00+00:00,0,0.34456013613711906
MDH-0253-5891,2024-07-01 20:00:00+00:00,0,0.1531500020318285
MDH-0259-9386,2024-07-01 19:00:00+00:00,0,0.2518200268816925
MDH-0265-4204,2024-07-01 20:00:00+00:00,0,0.7651776946924537
MDH-0277-8126,2024-07-01 19:00:00+00:00,0,0.3578757417262959
MDH-0292-0375,2024-07-01 20:00:00+00:00,1,0.880704524786259
MDH-0306-0672,2024-07-01 22:00:00+00:00,1,0.7865180235882311
MDH-0310-4546,2024-07-01 20:00:00+00:00,0,0.3862442740091181
MDH-0355-8174,2024-07-01 19:00:00+00:00,0,0.2474433453697345
MDH-0362-3149,2024-07-01 20:00:00+00:00,0,0.3488766223216091
MDH-0365-3706,2024-07-01 19:00:00+00:00,0,0.19437247364107801
MDH-0373-2528,2024-07-01 19:00:00+00:00,1,0.7826244457415079
MDH-0380-0515,2024-07-01 21:00:00+00:00,0,0.1920403651580977
MDH-0384-4742,2024-07-01 19:00:00+00:00,0,0.039608713595723856
MDH-0387-0178,2024-07-01 19:00:00+00:00,0,0.044416450464928654
MDH-0400-2616,2024-07-01 19:00:00+00:00,0,0.0443339218168936
MDH-0439-4705,2024-07-01 21:00:00+00:00,0,0.8772542343313864
MDH-0456-1935,2024-07-01 19:00:00+00:00,0,0.037519773443230195
MDH-0459-3201,2024-07-01 20:00:00+00:00,0,0.0716903474167147
MDH-0464-5451,2024-07-01 21:00:00+00:00,0,0.1573101195932608
MDH-0484-2565,2024-07-01 19:00:00+00:00,0,0.21976865334541346
MDH-0501-3188,2024-07-01 21:00:00+00:00,1,0.2999636482796491
MDH-0502-2932,2024-07-01 20:00:00+00:00,0,0.04226271596140059
MDH-0509-1157,2024-07-01 20:00:00+00:00,0,0.039071852451348324
MDH-0512-8530,2024-07-01 20:00:00+00:00,1,0.7805968146715963
MDH-0522-4755,2024-07-01 20:00:00+00:00,0,0.36615905255641223
MDH-0524-6939,2024-07-01 20:00:00+00:00,1,0.8788044903704204
MDH-0531-1007,2024-07-01 20:00:00+00:00,0,0.1009390452832411
MDH-0540-9035,2024-07-01 20:00:00+00:00,0,0.14847369790263198
MDH-0543-3371,2024-07-01 20:00:00+00:00,0,0.03847713023745541
MDH-0544-4361,2024-07-01 22:00:00+00:00,0,0.3451002967526543
MDH-0552-1511,2024-07-01 20:00:00+00:00,0,0.30844834005139254
MDH-0576-8775,2024-07-01 20:00:00+00:00,0,0.14970381077703965
MDH-0587-0209,2024-07-01 20:00:00+00:00,0,0.04008543696190248
MDH-0615-1546,2024-07-01 19:00:00+00:00,0,0.041341052349195294
MDH-0630-1960,2024-07-01 19:00:00+00:00,1,0.7873462075321789
MDH-0644-6029,2024-07-01 20:00:00+00:00,0,0.41830147499114456
MDH-0649-7139,2024-07-01 20:00:00+00:00,0,0.0375233864014055
MDH-0655-5549,2024-07-01 21:00:00+00:00,0,0.04127885687978033
MDH-0660-0737,2024-07-01 20:00:00+00:00,1,0.2831011452420733
MDH-0672-3343,2024-07-01 19:00:00+00:00,0,0.38463297804391894
MDH-0675-3111,2024-07-01 21:00:00+00:00,0,0.04495010502975479
MDH-0680-1390,2024-07-01 19:00:00+00:00,1,0.39418350372103994
MDH-0687-9572,2024-07-01 19:00:00+00:00,0,0.2523080304467539
MDH-0691-2169,2024-07-01 22:00:00+00:00,0,0.35284588819355556
MDH-0699-5273,2024-07-01 20:00:00+00:00,0,0.37240020955105313
MDH-0733-7690,2024-07-01 20:00:00+00:00,1,0.19659910543338943
MDH-0750-9951,2024-07-01 19:00:00+00:00,1,0.7916630011128255
MDH-0751-0007,2024-07-01 21:00:00+00:00,0,0.044779537930594096
MDH-0783-0736,2024-07-01 20:00:00+00:00,0,0.057406056415041644
MDH-0785-1866,2024-07-01 20:00:00+00:00,0,0.14824468911014854
MDH-0788-7071,2024-07-01 21:00:00+00:00,0,0.0406646892837687
MDH-0788-9544,2024-07-01 19:00:00+00:00,0,0.2702317181891195
MDH-0834-1219,2024-07-01 19:00:00+00:00,0,0.039882600447728574
MDH-0857-4646,2024-07-01 20:00:00+00:00,0,0.04013565207604691
MDH-0866-2449,2024-07-01 21:00:00+00:00,0,0.24579526581422895
MDH-0871-7466,2024-07-01 19:00:00+00:00,0,0.04495010502975479
MDH-0893-9206,2024-07-01 21:00:00+00:00,0,0.03798733757961848
MDH-0911-1250,2024-07-01 20:00:00+00:00,0,0.15239972796349294
MDH-0912-0396,2024-07-01 19:00:00+00:00,0,0.19513272856144553
MDH-0939-4930,2024-07-01 20:00:00+00:00,0,0.4018292489962458
MDH-0942-2205,2024-07-01 20:00:00+00:00,1,0.8763999202873077
MDH-0961-9384,2024-07-01 19:00:00+00:00,0,0.3841629432502209
MDH-0971-0572,2024-07-01 23:00:00+00:00,0,0.04361251990234516
MDH-0975-3050,2024-07-01 22:00:00+00:00,0,0.29774992078963297
MDH-0977-6746,2024-07-01 20:00:00+00:00,0,0.04388662166306669
MDH-0977-9342,2024-07-01 19:00:00+00:00,0,0.3447323628822008
MDH-0986-8321,2024-07-01 20:00:00+00:00,0,0.040876659960353556
MDH-0990-4477,2024-07-01 20:00:00+00:00,0,0.04233550071105628
MDH-1004-4825,2024-07-01 23:00:00+00:00,0,0.3448439156211266
MDH-1017-4596,2024-07-01 22:00:00+00:00,0,0.04495010502975479
MDH-1020-2121,2024-07-01 23:00:00+00:00,0,0.04495010502975479
MDH-1020-2982,2024-07-01 21:00:00+00:00,1,0.7805968146715963
MDH-1038-8890,2024-07-01 20:00:00+00:00,0,0.037973331614394576
MDH-1042-1368,2024-07-01 20:00:00+00:00,0,0.0850809877890461
MDH-1058-5917,2024-07-01 20:00:00+00:00,0,0.8775664597994038
MDH-1072-8823,2024-07-01 19:00:00+00:00,0,0.7974403817992808
MDH-1082-6404,2024-07-01 19:00:00+00:00,1,0.7062542586714284
MDH-1089-3562,2024-07-01 20:00:00+00:00,0,0.0443339218168936
MDH-1092-0136,2024-07-01 20:00:00+00:00,0,0.04495010502975479
MDH-1101-8818,2024-07-01 20:00:00+00:00,1,0.35742319977253867
MDH-1103-3825,2024-07-01 22:00:00+00:00,1,0.1963269368563461
MDH-1106-6467,2024-07-01 19:00:00+00:00,0,0.037396888140954966
MDH-1120-5351,2024-07-01 22:00:00+00:00,0,0.043103034099814294
MDH-1120-6728,2024-07-01 21:00:00+00:00,0,0.15025544977771266
MDH-1158-0752,2024-07-01 19:00:00+00:00,1,0.2982617418137667
MDH-1164-2003,2024-07-01 23:00:00+00:00,0,0.04466687416842736
MDH-1174-3950,2024-07-01 19:00:00+00:00,1,0.29872242635452606
MDH-1177-1083,2024-07-01 19:00:00+00:00,0,0.04495010502975479
MDH-1179-2340,2024-07-01 20:00:00+00:00,0,0.19116631527895905
MDH-1201-9926,2024-07-01 20:00:00+00:00,0,0.7878642379006741
MDH-1204-9411,2024-07-01 20:00:00+00:00,1,0.7863831280780262
MDH-1220-7202,2024-07-01 19:00:00+00:00,0,0.043136081813991756
MDH-1292-8365,2024-07-01 19:00:00+00:00,0,0.3444623688018371
MDH-1315-6536,2024-07-01 20:00:00+00:00,0,0.09946934276848113
MDH-1317-3788,2024-07-01 20:00:00+00:00,1,0.7842114583782797
MDH-1341-6203,2024-07-01 19:00:00+00:00,0,0.45263052225848244
MDH-1351-9981,2024-07-01 21:00:00+00:00,0,0.24718456797526733
MDH-1360-8238,2024-07-01 20:00:00+00:00,0,0.03890787668832843
MDH-1371-3834,2024-07-01 20:00:00+00:00,0,0.04495010502975479
MDH-1382-4114,2024-07-01 19:00:00+00:00,1,0.29923036576824313
MDH-1430-1456,2024-07-01 22:00:00+00:00,0,0.24887808725541888
MDH-1435-4530,2024-07-01 20:00:00+00:00,0,0.19138481192360318
