PARTICIPANTIDENTIFIER,time,action,p_send
MDH-0000-3900,2024-07-09 20:00:00+00:00,1,0.3597764239058544
MDH-0000-5795,2024-07-09 19:00:00+00:00,0,0.0140882511525755
MDH-0001-5834,2024-07-09 20:00:00+00:00,0,0.015819543778082742
MDH-0008-0746,2024-07-09 19:00:00+00:00,0,0.01839415765976598
MDH-0015-9817,2024-07-09 22:00:00+00:00,0,0.47454741713270526
MDH-0025-5702,2024-07-09 19:00:00+00:00,1,0.8687843098909764
MDH-0025-7530,2024-07-09 19:00:00+00:00,0,0.04840955318652848
MDH-0027-2714,2024-07-09 19:00:00+00:00,0,0.35652929813640105
MDH-0071-9232,2024-07-09 19:00:00+00:00,1,0.40430229480385216
MDH-0084-7389,2024-07-09 19:00:00+00:00,1,0.5978385782783745
MDH-0104-4053,2024-07-09 20:00:00+00:00,0,0.6026040218130528
MDH-0110-2314,2024-07-09 20:00:00+00:00,0,0.333738636626558
MDH-0111-1880,2024-07-09 20:00:00+00:00,0,0.8247188096867984
MDH-0113-9465,2024-07-09 19:00:00+00:00,1,0.9509716414713763
MDH-0116-4225,2024-07-09 19:00:00+00:00,1,0.8386279737701006
MDH-0117-5445,2024-07-09 19:00:00+00:00,1,0.7338427253273716
MDH-0157-0653,2024-07-09 22:00:00+00:00,1,0.8211984075884682
MDH-0164-6819,2024-07-09 22:00:00+00:00,0,0.5439326503065377
MDH-0166-2419,2024-07-09 19:00:00+00:00,0,0.8813597696773836
MDH-0166-6850,2024-07-09 19:00:00+00:00,1,0.7453342486694808
MDH-0174-6319,2024-07-09 20:00:00+00:00,1,0.7969289989591245
MDH-0191-8145,2024-07-09 19:00:00+00:00,0,0.3425539437565161
MDH-0196-3492,2024-07-09 19:00:00+00:00,0,0.5632575110478067
MDH-0250-0322,2024-07-09 19:00:00+00:00,1,0.335870286037513
MDH-0253-5891,2024-07-09 20:00:00+00:00,1,0.5895327456275499
MDH-0259-9386,2024-07-09 19:00:00+00:00,1,0.9614258151260846
MDH-0265-4204,2024-07-09 19:00:00+00:00,0,0.08607230723922332
MDH-0277-8126,2024-07-09 19:00:00+00:00,0,0.01607521036512369
MDH-0292-0375,2024-07-09 19:00:00+00:00,0,0.11833630842318005
MDH-0306-0672,2024-07-09 00:00:00+00:00,0,0.04479895054018564
MDH-0310-4546,2024-07-09 20:00:00+00:00,0,0.4134614260787608
MDH-0355-8174,2024-07-09 19:00:00+00:00,1,0.9107428364900169
MDH-0362-3149,2024-07-09 19:00:00+00:00,1,0.5135231266108227
MDH-0365-3706,2024-07-09 19:00:00+00:00,0,0.03162552583094237
MDH-0373-2528,2024-07-09 19:00:00+00:00,0,0.48980094512379513
MDH-0380-0515,2024-07-09 20:00:00+00:00,0,0.01564872240437276
MDH-0384-4742,2024-07-09 19:00:00+00:00,1,0.33898155672087665
MDH-0387-0178,2024-07-09 19:00:00+00:00,1,0.9006664957019564
MDH-0400-2616,2024-07-09 19:00:00+00:00,1,0.6277343307488613
MDH-0439-4705,2024-07-09 20:00:00+00:00,1,0.35826020397023206
MDH-0456-1935,2024-07-09 19:00:00+00:00,0,0.40929024800003294
MDH-0459-3201,2024-07-09 20:00:00+00:00,1,0.5090058705774526
