PARTICIPANTIDENTIFIER,time,action,p_send
MDH-0000-3900,2024-07-01 20:00:00+00:00,0,0.12930033284932713
MDH-0000-5795,2024-07-01 20:00:00+00:00,0,0.046948425459355486
MDH-0001-5834,2024-07-01 21:00:00+00:00,0,0.23899509655361884
MDH-0008-0746,2024-07-01 19:00:00+00:00,1,0.9421668783130038
MDH-0015-9817,2024-07-01 22:00:00+00:00,1,0.7790918339566031
MDH-0025-5702,2024-07-01 19:00:00+00:00,1,0.6508940890216828
MDH-0025-7530,2024-07-01 19:00:00+00:00,1,0.949059456071869
MDH-0027-2714,2024-07-01 20:00:00+00:00,1,0.9182952337916641
MDH-0071-9232,2024-07-01 19:00:00+00:00,0,0.32294229308565847
MDH-0084-7389,2024-07-01 19:00:00+00:00,1,0.9649500484069545
MDH-0104-4053,2024-07-01 21:00:00+00:00,1,0.9447472557928559
MDH-0111-1880,2024-07-01 20:00:00+00:00,0,0.26077443708223014
MDH-0113-9465,2024-07-01 20:00:00+00:00,1,0.8657984588802443
MDH-0116-4225,2024-07-01 20:00:00+00:00,1,0.959663517395568
MDH-0117-5445,2024-07-01 19:00:00+00:00,0,0.29142192966514646
MDH-0157-0653,2024-07-01 23:00:00+00:00,1,0.9128721936858575
MDH-0164-6819,2024-07-01 22:00:00+00:00,1,0.6413149976099428
MDH-0166-2419,2024-07-01 20:00:00+00:00,0,0.9430638830572556
MDH-0166-6850,2024-07-01 19:00:00+00:00,0,0.15003874627899272
MDH-0174-6319,2024-07-01 20:00:00+00:00,1,0.9602582163896067
MDH-0191-8145,2024-07-01 20:00:00+00:00,1,0.8140959808915538
MDH-0196-3492,2024-07-01 19:00:00+00:00,1,0.666082758381688
MDH-0253-5891,2024-07-01 20:00:00+00:00,1,0.7531538654965646
MDH-0259-9386,2024-07-01 19:00:00+00:00,0,0.8458244564424551
MDH-0265-4204,2024-07-01 20:00:00+00:00,0,0.31866550742361244
MDH-0277-8126,2024-07-01 19:00:00+00:00,1,0.8489418277503736
MDH-0292-0375,2024-07-01 20:00:00+00:00,1,0.782756446794793
MDH-0306-0672,2024-07-01 22:00:00+00:00,0,0.08292151494334404
MDH-0310-4546,2024-07-01 20:00:00+00:00,1,0.9007902883035432
MDH-0355-8174,2024-07-01 19:00:00+00:00,1,0.9687130100830555
MDH-0362-3149,2024-07-01 20:00:00+00:00,1,0.9797891475393461
MDH-0365-3706,2024-07-01 19:00:00+00:00,1,0.7945330985170558
MDH-0373-2528,2024-07-01 19:00:00+00:00,0,0.7563013785715077
MDH-0380-0515,2024-07-01 21:00:00+00:00,1,0.9685808564844609
MDH-0384-4742,2024-07-01 19:00:00+00:00,1,0.9655649175761973
MDH-0387-0178,2024-07-01 19:00:00+00:00,1,0.869843644585934
MDH-0400-2616,2024-07-01 19:00:00+00:00,1,0.7778913728525181
